"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"19"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
"20"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"21"	"Round - 2"	"12&d"	"18"	"1"	"155"	"8"	"4"	"10"	"7"	"203"	""	"203"	"0"
"22"	""	"13"	"15"	"6"	"233"	"34"	"14"	"7"	"17"	"326"	""	"326"	"0"
"23"	""	"14"	"24"	"7"	"177"	"112"	"25"	"21"	"48"	"414"	""	"414"	"0"
"24"	""	"14&d"	"11"	"4"	"119"	"38"	"7"	"9"	"9"	"197"	""	"197"	"0"
"25"	""	"15"	"36"	"16"	"167"	"94"	"18"	"12"	"26"	"369"	""	"369"	"0"
"26"	""	"16"	"20"	"2"	"93"	"224"	"22"	"20"	"32"	"413"	""	"413"	"0"
"27"	""	"17"	"20"	"84"	"98"	"54"	"14"	"11"	"22"	"303"	""	"303"	"0"
"28"	""	"17&d"	"27"	"30"	"76"	"68"	"21"	"21"	"29"	"272"	""	"272"	"0"
"29"	""	"18"	"165"	"18"	"209"	"48"	"13"	"9"	"20"	"482"	""	"482"	"0"
"30"	""	"19"	"25"	"27"	"307"	"73"	"18"	"14"	"11"	"475"	""	"475"	"0"
"31"	""	"20"	"22"	"14"	"25"	"288"	"23"	"13"	"23"	"408"	""	"408"	"0"
"32"	""	"21"	"22"	"5"	"299"	"30"	"28"	"30"	"23"	"437"	""	"437"	"0"
"33"	""	"22"	"37"	"14"	"248"	"67"	"20"	"41"	"8"	"435"	""	"435"	"0"
"34"	""	"23"	"23"	"8"	"99"	"241"	"11"	"19"	"16"	"417"	""	"417"	"0"
"35"	""	"Total"	"465"	"236"	"2305"	"1379"	"238"	"237"	"291"	"5151"	""	"5151"	"0"
"36"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"37"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
"38"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"39"	"Round - 3"	"24"	"73"	"9"	"249"	"59"	"16"	"97"	"19"	"522"	""	"522"	"0"
"40"	""	"25"	"56"	"8"	"192"	"59"	"36"	"49"	"49"	"449"	""	"449"	"0"
"41"	""	"26"	"96"	"6"	"23"	"125"	"17"	"13"	"10"	"290"	""	"290"	"0"
"42"	""	"27"	"16"	"0"	"242"	"101"	"13"	"42"	"12"	"426"	""	"426"	"0"
"43"	""	"28"	"69"	"21"	"119"	"243"	"23"	"29"	"23"	"527"	""	"527"	"0"
"44"	""	"29"	"30"	"11"	"329"	"63"	"28"	"7"	"17"	"485"	""	"485"	"0"
"45"	""	"30"	"20"	"10"	"112"	"167"	"22"	"11"	"11"	"353"	""	"353"	"0"
"46"	""	"31"	"33"	"14"	"386"	"160"	"22"	"13"	"14"	"642"	""	"642"	"0"
"47"	""	"32"	"18"	"9"	"145"	"112"	"20"	"13"	"8"	"325"	""	"325"	"0"
"48"	""	"33"	"21"	"17"	"322"	"56"	"11"	"14"	"17"	"458"	""	"458"	"0"
"49"	""	"34"	"56"	"27"	"215"	"81"	"22"	"15"	"20"	"436"	""	"436"	"0"
"50"	""	"35"	"44"	"8"	"272"	"42"	"23"	"11"	"42"	"442"	""	"442"	"0"
"51"	""	"36"	"12"	"2"	"265"	"2"	"9"	"8"	"8"	"306"	""	"306"	"0"
"52"	""	"37"	"16"	"9"	"245"	"45"	"13"	"8"	"16"	"352"	""	"352"	"0"
"53"	""	"Total"	"560"	"151"	"3116"	"1315"	"275"	"330"	"266"	"6013"	""	"6013"	"0"
"54"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
"56"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"57"	"Round - 4"	"38"	"13"	"7"	"232"	"50"	"35"	"6"	"20"	"363"	""	"363"	"0"
"58"	""	"39"	"29"	"6"	"107"	"126"	"23"	"21"	"44"	"356"	""	"356"	"0"
"59"	""	"39&d"	"33"	"14"	"178"	"43"	"9"	"14"	"13"	"304"	""	"304"	"0"
"60"	""	"40"	"13"	"7"	"69"	"92"	"14"	"31"	"12"	"238"	""	"238"	"0"
"61"	""	"40&d"	"18"	"5"	"110"	"150"	"16"	"7"	"15"	"321"	""	"321"	"0"
"62"	""	"41"	"125"	"15"	"305"	"44"	"10"	"5"	"9"	"513"	""	"513"	"0"
"63"	""	"42"	"11"	"5"	"79"	"138"	"27"	"21"	"22"	"303"	""	"303"	"0"
"64"	""	"42&d"	"16"	"0"	"173"	"71"	"9"	"6"	"15"	"290"	""	"290"	"0"
"65"	""	"43"	"11"	"7"	"178"	"34"	"8"	"14"	"24"	"276"	""	"276"	"0"
"66"	""	"44"	"15"	"3"	"205"	"33"	"13"	"5"	"27"	"301"	""	"301"	"0"
"67"	""	"45"	"23"	"9"	"191"	"147"	"18"	"19"	"32"	"439"	""	"439"	"0"
"68"	""	"46"	"8"	"4"	"95"	"37"	"5"	"5"	"11"	"165"	""	"165"	"0"
"69"	""	"47"	"25"	"10"	"279"	"95"	"14"	"20"	"33"	"476"	""	"476"	"0"
"70"	""	"48"	"18"	"6"	"247"	"83"	"26"	"14"	"35"	"429"	""	"429"	"0"
"71"	""	"Total"	"358"	"98"	"2448"	"1143"	"227"	"188"	"312"	"4774"	""	"4774"	"0"
"72"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"73"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
"74"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	""	""	""	""
"75"	"Round - 5"	"49"	"112"	"12"	"225"	"117"	"19"	"20"	"15"	"520"	""	"520"	"0"
"76"	""	"50"	"44"	"11"	"170"	"152"	"26"	"34"	"40"	"477"	""	"477"	"0"
"77"	""	"51"	"36"	"17"	"262"	"128"	"31"	"45"	"24"	"543"	""	"543"	"0"
"78"	""	"52"	"46"	"10"	"118"	"176"	"15"	"5"	"11"	"381"	""	"381"	"0"
"79"	""	"53"	"26"	"14"	"222"	"283"	"16"	"19"	"24"	"604"	""	"604"	"0"
"80"	""	"54"	"34"	"6"	"305"	"163"	"21"	"13"	"27"	"569"	""	"569"	"0"
"81"	""	"55"	"19"	"12"	"373"	"69"	"22"	"15"	"31"	"541"	""	"541"	"0"
"82"	""	"56"	"18"	"7"	"328"	"95"	"14"	"13"	"9"	"484"	""	"484"	"0"
"83"	""	"57"	"13"	"10"	"273"	"67"	"9"	"8"	"25"	"405"	""	"405"	"0"
"84"	""	"57&d"	"44"	"4"	"99"	"73"	"7"	"0"	"4"	"231"	""	"231"	"0"
"85"	""	"58"	"23"	"7"	"406"	"87"	"17"	"13"	"22"	"575"	""	"575"	"0"
"86"	""	"59"	"30"	"11"	"217"	"181"	"32"	"23"	"36"	"530"	""	"530"	"0"
"87"	""	"60"	"26"	"14"	"338"	"70"	"11"	"13"	"11"	"483"	""	"483"	"0"
"88"	""	"61"	"118"	"18"	"191"	"81"	"19"	"18"	"38"	"483"	""	"483"	"0"
"89"	""	"Total"	"589"	"153"	"3527"	"1742"	"259"	"239"	"317"	"6826"	""	"6826"	"0"
"90"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"91"	""	""	"Anjar Ahmad Kha,(L.J.P)"	"Dinesh Mahto (C.P.I)M.L"	"Nitish Mishra (J.D.U)"	"Ram Awatar Chaudhary (R.J.D)"	"Ram Bilas Dhangar (B.S.P)"	"Vivekanandan Mishra (S.P.)"	"Nathuni Yadav (IND.)"	""	""	""	""
